"MINISTRY";"DEPARTMENT";"CONFIRMED";"COUNTRY_CODE"
"HM Treasury";"Office for Budget Responsibility";1;"GB"
"HM Treasury";"Royal Mint Advisory Committee";1;"GB"
"HM Treasury";"The Crown Estate";1;"GB"
"HM Treasury";"Financial Conduct Authority";1;"GB"
"HM Treasury";"Infrastructure and Projects Authority";1;"GB"
"HM Treasury";"National Infrastructure Commission";1;"GB"
"HM Treasury";"Payment Systems Regulator";1;"GB"
"HM Treasury";"Royal Mint";1;"GB"
"HM Treasury";"UK Financial Investments Limited";1;"GB"
"HM Treasury";"UK Government Investments";1;"GB"
"Home Office";"Disclosure and Barring Service";1;"GB"
"Home Office";"Gangmasters and Labour Abuse Authority";1;"GB"
"Home Office";"Independent Office for Police Conduct";1;"GB"
"Home Office";"Office of the Immigration Services Commissioner";1;"GB"
"Home Office";"Security Industry Authority";1;"GB"
"Home Office";"Advisory Council on the Misuse of Drugs";1;"GB"
"Home Office";"Animals in Science Committee";1;"GB"
"Home Office";"Biometrics and Forensics Ethics Group";1;"GB"
"Home Office";"Migration Advisory Committee";1;"GB"
"Home Office";"Police Advisory Board for England and Wales";1;"GB"
"Home Office";"Police Remuneration Review Body";1;"GB"
"Home Office";"Technical Advisory Board";1;"GB"
"Home Office";"Investigatory Powers Tribunal";1;"GB"
"Home Office";"Police Discipline Appeals Tribunal";1;"GB"
"Home Office";"Independent Anti-slavery Commissioner";1;"GB"
"Home Office";"Biometrics Commissioner";1;"GB"
"Home Office";"College of Policing";1;"GB"
"Home Office";"Commission for Countering Extremism";1;"GB"
"Home Office";"Forensic Science Regulator";1;"GB"
"Home Office";"HM Inspectorate of Constabulary and Fire and Rescue Services";1;"GB"
"Home Office";"Independent Chief Inspector of Borders and Immigration";1;"GB"
"Home Office";"Independent Family Returns Panel";1;"GB"
"Home Office";"Independent Reviewer of Terrorism Legislation";1;"GB"
"Home Office";"Intelligence Services Commissioner";1;"GB"
"Home Office";"Investigatory Powers Commissioner's Office";1;"GB"
"Home Office";"National Counter Terrorism Security Office";1;"GB"
"Home Office";"National Crime Agency Remuneration Review Body";1;"GB"
"Home Office";"The Security Service";1;"GB"
"Home Office";"Surveillance Camera Commissioner";1;"GB"
"Home Office";"UK Council for Internet Safety";1;"GB"
"Ministry of Defence";"Defence Electronics and Components Agency";1;"GB"
"Ministry of Defence";"Defence Science and Technology Laboratory";1;"GB"
"Ministry of Defence";"UK Hydrographic Office";1;"GB"
"Ministry of Defence";"National Army Museum";1;"GB"
"Ministry of Defence";"National Museum of the Royal Navy";1;"GB"
"Ministry of Defence";"Royal Air Force Museum";1;"GB"
"Ministry of Defence";"Single Source Regulations Office";1;"GB"
"Ministry of Defence";"Advisory Committee on Conscientious Objectors";1;"GB"
"Ministry of Defence";"Armed Forces' Pay Review Body";1;"GB"
"Ministry of Defence";"Defence Nuclear Safety Committee";1;"GB"
"Ministry of Defence";"Independent Medical Expert Group";1;"GB"
"Ministry of Defence";"Nuclear Research Advisory Council";1;"GB"
"Ministry of Defence";"Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons";1;"GB"
"Ministry of Defence";"Veterans Advisory and Pensions Committees";1;"GB"
"Ministry of Defence";"The Oil and Pipelines Agency";1;"GB"
"Ministry of Defence";"Central Advisory Committee on Compensation";1;"GB"
"Ministry of Defence";"Advisory Group on Military Medicine";1;"GB"
"Ministry of Defence";"Defence Academy of the United Kingdom";1;"GB"
"Ministry of Defence";"Defence Sixth Form College";1;"GB"
"Ministry of Defence";"Defence and Security Media Advisory Committee";1;"GB"
"Ministry of Defence";"Fleet Air Arm Museum";1;"GB"
"Ministry of Defence";"Reserve Forces' and Cadets' Associations";1;"GB"
"Ministry of Defence";"Royal Marines Museum";1;"GB"
"Ministry of Defence";"Royal Navy Submarine Museum";1;"GB"
"Ministry of Defence";"Service Complaints Ombudsman";1;"GB"
"Ministry of Defence";"Service Prosecuting Authority";1;"GB"
"Ministry of Defence";"United Kingdom Reserve Forces Association";1;"GB"
"Ministry of Defence";"Planning Inspectorate";1;"GB"
"Ministry of Defence";"Queen Elizabeth II Conference Centre";1;"GB"
"Ministry of Housing";"Ebbsfleet Development Corporation";1;"GB"
"Ministry of Housing";"Homes England";1;"GB"
"Ministry of Housing";"Housing Ombudsman";1;"GB"
"Ministry of Housing";"Leasehold Advisory Service";1;"GB"
"Ministry of Housing";"Regulator of Social Housing";1;"GB"
"Ministry of Housing";"Valuation Tribunal Service";1;"GB"
"Ministry of Housing";" Building Regulations Advisory Committee";1;"GB"
"Ministry of Housing";" Valuation Tribunal for England";1;"GB"
"Ministry of Housing";" Architects Registration Board";1;"GB"
"Ministry of Housing";" Local Government and Social Care Ombudsman";1;"GB"
"Ministry of Housing";" UK Holocaust Memorial Foundation";1;"GB"
"Ministry of Housing";" Criminal Injuries Compensation Authority";1;"GB"
"Ministry of Housing";" HM Courts and Tribunals Service";1;"GB"
"Ministry of Justice";"Her Majesty’s Prison and Probation Service";1;"GB"
"Ministry of Justice";"Legal Aid Agency";1;"GB"
"Ministry of Justice";"Office of the Public Guardian";1;"GB"
"Ministry of Justice";"Cafcass";1;"GB"
"Ministry of Justice";"Criminal Cases Review Commission";1;"GB"
"Ministry of Justice";"Judicial Appointments Commission";1;"GB"
"Ministry of Justice";"Legal Services Board";1;"GB"
"Ministry of Justice";"Parole Board";1;"GB"
"Ministry of Justice";"Youth Justice Board for England and Wales";1;"GB"
"Ministry of Justice";"Advisory Committees on Justices of the Peace";1;"GB"
"Ministry of Justice";"Civil Justice Council";1;"GB"
"Ministry of Justice";"Civil Procedure Rule Committee";1;"GB"
"Ministry of Justice";"Criminal Procedure Rule Committee";1;"GB"
"Ministry of Justice";"Family Justice Council";1;"GB"
"Ministry of Justice";"Family Procedure Rule Committee";1;"GB"
"Ministry of Justice";"Independent Advisory Panel on Deaths in Custody";1;"GB"
"Ministry of Justice";"Insolvency Rules Committee";1;"GB"
"Ministry of Justice";"Law Commission";1;"GB"
"Ministry of Justice";"Prison Service Pay Review Body";1;"GB"
"Ministry of Justice";"Sentencing Council for England and Wales";1;"GB"
"Ministry of Justice";"Tribunal Procedure Committee";1;"GB"
"Ministry of Justice";"Academy for Social Justice";1;"GB"
"Ministry of Justice";"Academy for Social Justice Commissioning";1;"GB"
"Ministry of Justice";"HM Inspectorate of Prisons";1;"GB"
"Ministry of Justice";"HM Inspectorate of Probation";1;"GB"
"Ministry of Justice";"Independent Monitoring Boards";1;"GB"
"Ministry of Justice";"Judicial Appointments and Conduct Ombudsman";1;"GB"
"Ministry of Justice";"Judicial Office";1;"GB"
"Ministry of Justice";"The Legal Ombudsman";1;"GB"
"Ministry of Justice";"Official Solicitor and Public Trustee";1;"GB"
"Ministry of Justice";"Prisons and Probation Ombudsman";1;"GB"
"Ministry of Justice";"Victims' Commissioner";1;"GB"
"Ministry of Justice";"Northern Ireland Human Rights Commission";1;"GB"
"Ministry of Justice";"Parades Commission for Northern Ireland";1;"GB"
"Northern Ireland Office";"Boundary Commission for Northern Ireland";1;"GB"
"Northern Ireland Office";"Office of the Advocate General for Scotland";1;"GB"
"Northern Ireland Office";"Office of the Leader of the House of Commons";1;"GB"
"Office of the Advocate General for Scotland";"Office of the Leader of the House of Lords";1;"GB"
"Office of the Leader of the House of Commons";"Boundary Commission for Scotland";1;"GB"
"Office of the Leader of the House of Lords";"Office of the Secretary of State for Wales";1;"GB"
"Office of the Secretary of State for Scotland";"Export Guarantees Advisory Council";1;"GB"
"Office of the Secretary of State for Wales";"The Charity Commission";1;"GB"
"UK Export Finance";"Competition and Markets Authority";1;"GB"
"Non ministerial departments";"Crown Prosecution Service";1;"GB"
"Non ministerial departments";"Advisory Committee on Animal Feedingstuffs";1;"GB"
"Non ministerial departments";"Advisory Committee on Novel Foods and Processes";1;"GB"
"Food Standards Agency";"Advisory Committee on the Microbiological Safety of Food";1;"GB"
"Food Standards Agency";"Committee on Mutagenicity of Chemicals in Food";1;"GB"
"Food Standards Agency";"Committee on Toxicity of Chemicals in Food";1;"GB"
"Food Standards Agency";"General Advisory Committee on Science";1;"GB"
"Food Standards Agency";"Social Science Research Committee";1;"GB"
"Forestry Commission";"Forest Enterprise (England)";1;"GB"
"Forestry Commission";"Forest Research";1;"GB"
"HM Revenue and Customs";"Valuation Office Agency";1;"GB"
"HM Revenue and Customs";"The Adjudicator’s Office";1;"GB"
"Government Actuary's Department";"Government Actuary's Department";1;"GB"
"Government Legal Department";"Government Legal Department";1;"GB"
"HM Land Registry";"HM Land Registry";1;"GB"
"Non ministerial departments";"National Savings and Investments";1;"GB"
"Non ministerial departments";"The National Archives";1;"GB"
"Non ministerial departments";"National Crime Agency";1;"GB"
"Non ministerial departments";"Office of Rail and Road";1;"GB"
"Non ministerial departments";"Ofgem";1;"GB"
"Non ministerial departments";"Ofqual";1;"GB"
"Non ministerial departments";"Ofsted";1;"GB"
"Non ministerial departments";"Serious Fraud Office";1;"GB"
"Non ministerial departments";"Supreme Court of the United Kingdom";1;"GB"
"Non ministerial departments";"Office for National Statistics";1;"GB"
"Non ministerial departments";"The Water Services Regulation Authority ";1;"GB"
"Public corporations";"Architects Registration Board ";1;"GB"
"Public corporations";"BBC ";1;"GB"
"Public corporations";"BBC World Service ";1;"GB"
"Public corporations";"Channel 4 ";1;"GB"
"Public corporations";"Civil Aviation Authority ";1;"GB"
"Public corporations";"Historic Royal Palaces ";1;"GB"
"Public corporations";"London and Continental Railways Limited ";1;"GB"
"Public corporations";"National Employment Savings Trust (NEST) Corporation ";1;"GB"
"Public corporations";"Office for Nuclear Regulation ";1;"GB"
"Public corporations";"The Oil and Pipelines Agency";1;"GB"
"Public corporations";"Ordnance Survey ";1;"GB"
"Public corporations";"Pension Protection Fund ";1;"GB"
"Devolved administrations";"UK Co-ordinating Body (North Island)";1;"GB"
"Devolved administrations";"Animal and Plant Health Agency (Scotland)";1;"GB"
"Devolved administrations";"UK Co-ordinating Body (Scotland)";1;"GB"
"Devolved administrations";"Animal and Plant Health Agency - Wales";1;"GB"
"Devolved administrations";"Planning Inspectorate - Wales";1;"GB"
"Devolved administrations";"Careers Wales - Wales";1;"GB"
"Devolved administrations";"Natural Resources Wales - Wales";1;"GB"
"Devolved administrations";"UK Co-ordinating Body - Wales";1;"GB"
"Agencies and Public Bodies";"Agriculture and Horticulture Development Board";1;"GB"
"Agencies and Public Bodies";"Animal and Plant Health Agency";1;"GB"
"Agencies and Public Bodies";"Arts Council - England";1;"GB"
"Agencies and Public Bodies";"Arts Council - North Ireland";1;"GB"
"Agencies and Public Bodies";"Arts Council - Wales";1;"GB"
"Agencies and Public Bodies";"Bank of England";1;"GB"
"Agencies and Public Bodies";"Big Lottery Fund";1;"GB"
"Agencies and Public Bodies";"British Film Institute";1;"GB"
"Agencies and Public Bodies";"British Library";1;"GB"
"Agencies and Public Bodies";"British Museum";1;"GB"
"Agencies and Public Bodies";"Civil Service Commission";1;"GB"
"Agencies and Public Bodies";"College of Policing";1;"GB"
"Agencies and Public Bodies";"Committee on Climate Change";1;"GB"
"Agencies and Public Bodies";"Defence Academy of the United Kingdom ";1;"GB"
"Agencies and Public Bodies";"Disabled People’s Employment Corporation (GB) Ltd";1;"GB"
"Agencies and Public Bodies";"Environment Agency";1;"GB"
"Agencies and Public Bodies";"Family Justice Council";1;"GB"
"Agencies and Public Bodies";"Forest Research";1;"GB"
"Agencies and Public Bodies";"Government Office for Science";1;"GB"
"Agencies and Public Bodies";"Health Education England";1;"GB"
"Agencies and Public Bodies";"Housing Ombudsman";1;"GB"
"Agencies and Public Bodies";"Independent Case Examiner";1;"GB"
"Agencies and Public Bodies";"Intellectual Property Office";1;"GB"
"Agencies and Public Bodies";"Joint Nature Conservation Committee";1;"GB"
"Agencies and Public Bodies";"Lake District National Park Authority";1;"GB"
"Agencies and Public Bodies";"Medical Research Council";1;"GB"
"Agencies and Public Bodies";"NHS";1;"GB"
"Agencies and Public Bodies";"Natural England";1;"GB"
"Agencies and Public Bodies";"Natural History Museum";1;"GB"
"Agencies and Public Bodies";"The Parole Board ";1;"GB"
"Agencies and Public Bodies";"Small Business Commissioner";1;"GB"
"Agencies and Public Bodies";"Tate";1;"GB"
"Agencies and Public Bodies";"UK Council for Internet Safety";1;"GB"
"Agencies and Public Bodies";"UK Research and Innovation";1;"GB"
"Agencies and Public Bodies";"Veterinary Medicines Directorate";1;"GB"
"Agencies and Public Bodies";"The Westminster Foundation for Democracy";1;"GB"
"Agencies and Public Bodies";"Youth Justice Board for England and Wales";1;"GB"
"Ministry of Agriculture & Farmers Welfare";"Department of Agriculture and Cooperation";1;"IN"
"Ministry of Agriculture & Farmers Welfare";"Department of Agricultural Research and Education";1;"IN"
"Ministry of Agriculture & Farmers Welfare";"Department of Animal Husbandry and Dairying";1;"IN"
"Ministry of Agriculture & Farmers Welfare";"Department of Food Processing Industries";1;"IN"
"Ministry of Chemicals and Fertilizers";"Department of Chemicals and Petrochemicals";1;"IN"
"Ministry of Chemicals and Fertilizers";"Department of Fertilizers";1;"IN"
